trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.6065000000000008, 'e': 0.15810435330654993}",25,18,11.448271626570227,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6054000000000008, 'e': 0.15523403019137694}",25,8,8.79300357101381,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.6043000000000008, 'e': 0.15242779267625262}",25,8,24.22089354863481,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.6032000000000008, 'e': 0.14968404524463355}",25,0,-14.136771937289465,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.6021000000000009, 'e': 0.1470012357590937}",20,12,-26.350312492603972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.6010000000000009, 'e': 0.14437785419702717}",30,5,31.697790480978796,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5999000000000009, 'e': 0.14181243142545816}",20,14,10.503854601780526,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5988000000000009, 'e': 0.1393035380136843}",25,4,29.819526889442052,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5977000000000009, 'e': 0.1368497830825237}",20,13,-4.94313144114996,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5966000000000009, 'e': 0.13444981318897722}",20,8,24.49601905080786,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5955000000000009, 'e': 0.13210231124515864}",30,19,17.43100534281438,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5944000000000009, 'e': 0.12980599547038335}",20,14,10.240394480491204,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5933000000000009, 'e': 0.12755961837534516}",25,12,26.19289128720451,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.592200000000001, 'e': 0.125361965777345}",20,12,14.194982318208316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.591100000000001, 'e': 0.12321185584557272}",20,9,20.536016795527647,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.590000000000001, 'e': 0.12110813817547486}",30,1,50.85308056860245,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.588900000000001, 'e': 0.11904969289127505}",30,8,19.26875051695156,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.587800000000001, 'e': 0.11703542977574406}",25,13,-22.15929345776384,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.586700000000001, 'e': 0.11506428742634867}",25,19,10.412176296448294,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
